DATE,S&P BSE (SENSEX) 30 SENSITIVE - PRICE INDEX,RELIANCE INDUSTRIES,TATA CONSULTANCY SVS.,HDFC BANK,HINDUSTAN UNILEVER,ITC,HOUSING DEVELOPMENT FINANCE CORPORATION,INFOSYS,STATE BANK OF INDIA,ICICI BANK,KOTAK MAHINDRA BANK,MARUTI SUZUKI INDIA,LARSEN & TOUBRO,OIL & NATURAL GAS,AXIS BANK,COAL INDIA,WIPRO,BHARTI AIRTEL,NTPC,SUN PHARM.INDUSTRIES,ASIAN PAINTS,MAHINDRA & MAHINDRA,INDUSIND BANK,POWER GRID CORPORATION OF INDIA,ADANI PORTS AND SEZ.,VEDANTA,BAJAJ AUTO,TATA MOTORS,TATA STEEL,HERO MOTOCORP,YES BANK,TATA MOTORS A DVR
23-11-1993,3041.44,27.31,NA,NA,50.87,7.14,24.8,0.4,15.65,NA,5.67,NA,25.56,NA,NA,NA,0.43,NA,NA,NA,7.5,17.81,NA,NA,NA,11.64,NA,34.73,102.45,21.4,NA,NA
24-11-1993,3053.35,27.22,NA,NA,52.75,7.39,24.4,0.38,17.88,NA,5.78,NA,25.97,NA,NA,NA,0.44,NA,NA,NA,7.4,17.44,NA,NA,NA,11.64,NA,34.13,99.64,21.2,NA,NA
25-11-1993,3077.52,26.98,NA,NA,55.75,7.42,24,0.38,19.67,NA,5.78,NA,27.22,NA,NA,NA,0.43,NA,NA,NA,7.29,17.44,NA,NA,NA,11.41,NA,34.13,98.24,21.6,NA,NA
26-11-1993,3233.14,28.49,NA,NA,58,7.61,24.7,0.4,21.23,NA,5.78,NA,29.17,NA,NA,NA,0.43,NA,NA,NA,7.4,18.94,NA,NA,NA,12.11,NA,35.33,108.9,22,NA,NA
29-11-1993,3233.14,28.49,NA,NA,58,7.61,24.7,0.4,21.23,NA,5.78,NA,29.17,NA,NA,NA,0.43,NA,NA,NA,7.4,18.94,NA,NA,NA,12.11,NA,35.33,108.9,22,NA,NA
30-11-1993,3233.14,28.49,NA,NA,58,7.61,24.7,0.4,21.23,NA,5.78,NA,29.17,NA,NA,NA,0.43,NA,NA,NA,7.4,18.94,NA,NA,NA,12.11,NA,35.33,108.9,22,NA,NA
01-12-1993,3292.85,28.68,NA,NA,57,7.61,25.6,0.4,19.34,NA,6.01,NA,29.17,NA,NA,NA,0.41,NA,NA,NA,7.6,20.06,NA,NA,NA,12.34,NA,36.53,114.24,21.6,NA,NA
02-12-1993,3283.36,28.97,NA,NA,55,7.56,25.3,0.42,17.93,NA,6.23,NA,28.06,NA,NA,NA,0.42,NA,NA,NA,8.12,20.44,NA,NA,NA,12.57,NA,38.33,116.76,22,NA,NA
03-12-1993,3219.23,28.12,NA,NA,55,7.36,24.7,0.42,18.87,NA,6.45,NA,27.5,NA,NA,NA,0.42,NA,NA,NA,7.92,19.88,NA,NA,NA,11.41,NA,38.33,111.71,21.6,NA,NA
06-12-1993,3149.8,27.26,NA,NA,53.25,7.36,23.7,0.41,18.87,NA,6.67,NA,26.94,NA,NA,NA,0.42,NA,NA,NA,7.86,19.22,NA,NA,NA,12.11,NA,37.73,108.62,21.2,NA,NA
07-12-1993,3231.71,27.83,NA,NA,54,7.42,24.4,0.42,19.11,NA,6.45,NA,27.92,NA,NA,NA,0.42,NA,NA,NA,8.12,19.31,NA,NA,NA,11.64,NA,40.12,116.2,21.2,NA,NA
08-12-1993,3310.24,28.49,NA,NA,54.5,7.61,25.3,0.42,19.11,NA,6.67,NA,28.33,NA,NA,NA,0.43,NA,NA,NA,7.71,19.5,NA,NA,NA,11.88,NA,41.02,121.53,21.4,NA,NA
09-12-1993,3328.58,28.49,NA,NA,54,7.67,25.1,0.42,20.05,NA,6.45,NA,28.47,NA,NA,NA,0.44,NA,NA,NA,7.71,20.06,NA,NA,NA,12.11,NA,40.72,124.62,20.8,NA,NA
10-12-1993,3401.9,29.16,NA,NA,54.5,7.78,25.6,0.42,22.41,NA,6.67,NA,28.89,NA,NA,NA,0.43,NA,NA,NA,8.44,21.38,NA,NA,NA,12.11,NA,41.92,127.15,21.2,NA,NA
13-12-1993,3454.81,29.11,NA,NA,57.5,7.86,25.95,0.42,22.64,NA,6.78,NA,29.03,NA,NA,NA,0.45,NA,NA,NA,8.65,22.41,NA,NA,NA,12.81,NA,44.02,126.87,20.4,NA,NA
14-12-1993,3454.81,29.11,NA,NA,57.5,7.86,25.95,0.42,22.64,NA,6.78,NA,29.03,NA,NA,NA,0.45,NA,NA,NA,8.65,22.41,NA,NA,NA,12.81,NA,44.02,126.87,20.4,NA,NA
15-12-1993,3454.81,29.11,NA,NA,57.5,7.86,25.95,0.42,22.64,NA,6.78,NA,29.03,NA,NA,NA,0.45,NA,NA,NA,8.65,22.41,NA,NA,NA,12.81,NA,44.02,126.87,20.4,NA,NA
16-12-1993,3454.81,29.11,NA,NA,57.5,7.86,25.95,0.42,22.64,NA,6.78,NA,29.03,NA,NA,NA,0.45,NA,NA,NA,8.65,22.41,NA,NA,NA,12.81,NA,44.02,126.87,20.4,NA,NA
17-12-1993,3454.81,29.11,NA,NA,57.5,7.86,25.95,0.42,22.64,NA,6.78,NA,29.03,NA,NA,NA,0.45,NA,NA,NA,8.65,22.41,NA,NA,NA,12.81,NA,44.02,126.87,20.4,NA,NA
20-12-1993,3454.81,29.11,NA,NA,57.5,7.86,25.95,0.42,22.64,NA,6.78,NA,29.03,NA,NA,NA,0.45,NA,NA,NA,8.65,22.41,NA,NA,NA,12.81,NA,44.02,126.87,20.4,NA,NA
21-12-1993,3454.81,29.11,NA,NA,57.5,7.86,25.95,0.42,22.64,NA,6.78,NA,29.03,NA,NA,NA,0.45,NA,NA,NA,8.65,22.41,NA,NA,NA,12.81,NA,44.02,126.87,20.4,NA,NA
22-12-1993,3454.81,29.11,NA,NA,57.5,7.86,25.95,0.42,22.64,NA,6.78,NA,29.03,NA,NA,NA,0.45,NA,NA,NA,8.65,22.41,NA,NA,NA,12.81,NA,44.02,126.87,20.4,NA,NA
23-12-1993,3454.81,29.11,NA,NA,57.5,7.86,25.95,0.42,22.64,NA,6.78,NA,29.03,NA,NA,NA,0.45,NA,NA,NA,8.65,22.41,NA,NA,NA,12.81,NA,44.02,126.87,20.4,NA,NA
24-12-1993,3346.06,28.02,NA,NA,57.5,7.5,24.5,0.42,22.64,NA,7.12,NA,27.78,NA,NA,NA,0.45,NA,NA,NA,8.65,22.12,NA,NA,NA,12.81,NA,41.92,117.6,20.4,NA,NA
27-12-1993,3346.06,28.02,NA,NA,57.5,7.5,24.5,0.42,22.64,NA,7.12,NA,27.78,NA,NA,NA,0.45,NA,NA,NA,8.65,22.12,NA,NA,NA,12.81,NA,41.92,117.6,20.4,NA,NA
28-12-1993,3346.06,28.02,NA,NA,57.5,7.5,24.5,0.42,22.64,NA,7.12,NA,27.78,NA,NA,NA,0.45,NA,NA,NA,8.65,22.12,NA,NA,NA,12.81,NA,41.92,117.6,20.4,NA,NA
29-12-1993,3346.06,28.02,NA,NA,57.5,7.5,24.5,0.42,22.64,NA,7.12,NA,27.78,NA,NA,NA,0.45,NA,NA,NA,8.65,22.12,NA,NA,NA,12.81,NA,41.92,117.6,20.4,NA,NA
30-12-1993,3346.06,28.02,NA,NA,57.5,7.5,24.5,0.42,22.64,NA,7.12,NA,27.78,NA,NA,NA,0.45,NA,NA,NA,8.65,22.12,NA,NA,NA,12.81,NA,41.92,117.6,20.4,NA,NA
31-12-1993,3346.06,28.02,NA,NA,57.5,7.5,24.5,0.42,22.64,NA,7.12,NA,27.78,NA,NA,NA,0.45,NA,NA,NA,8.65,22.12,NA,NA,NA,12.81,NA,41.92,117.6,20.4,NA,NA
03-01-1994,3465.86,29.58,NA,NA,58,7.78,25.6,0.44,26.89,NA,7.56,NA,29.17,NA,NA,NA,0.45,NA,NA,NA,8.23,22.12,NA,NA,NA,12.81,NA,43.72,126.02,21.7,NA,NA
04-01-1994,3479.92,30.1,NA,NA,55,7.92,26.1,0.42,25.48,NA,8.23,NA,28.89,NA,NA,NA,0.47,NA,NA,NA,8.33,23.06,NA,NA,NA,13.27,NA,44.61,130.23,21.8,NA,NA
05-01-1994,3454.08,30.77,NA,NA,55.5,7.89,26.2,0.43,26.42,NA,8.01,NA,28.33,NA,NA,NA,0.47,NA,NA,NA,7.5,23.25,NA,NA,NA,13.5,NA,44.02,127.71,22.2,NA,NA
06-01-1994,3509.47,32.19,NA,NA,55.75,7.97,26.6,0.43,27.13,NA,8.9,NA,28.75,NA,NA,NA,0.47,NA,NA,NA,7.29,25.13,NA,NA,NA,13.74,NA,46.11,131.92,22.4,NA,NA
07-01-1994,3662.2,33.94,NA,NA,57.75,8.5,27.8,0.44,26.42,NA,9.12,NA,29.86,NA,NA,NA,0.47,NA,NA,NA,8.02,26.44,NA,NA,NA,13.97,NA,49.7,135.29,22.8,NA,NA
10-01-1994,3821.56,35.59,NA,NA,61,8.78,28.6,0.45,23.59,NA,9.01,NA,32.64,NA,NA,NA,0.46,NA,NA,NA,8.44,27.09,NA,NA,NA,14.67,NA,51.8,141.74,22.8,NA,NA
11-01-1994,3780.1,34.74,NA,NA,60.5,8.58,28.6,0.44,24.77,NA,8.9,NA,31.67,NA,NA,NA,0.46,NA,NA,NA,7.81,25.88,NA,NA,NA,14.67,NA,53.6,136.41,22.4,NA,NA
12-01-1994,3903.79,36.16,NA,NA,65.5,8.72,29.4,0.43,29.25,NA,8.45,NA,33.19,NA,NA,NA,0.48,NA,NA,NA,7.5,26.72,NA,NA,NA,15.02,NA,55.09,139.78,22.8,NA,NA
13-01-1994,3928.59,36.92,NA,NA,67,8.61,30.4,0.41,31.14,NA,8.68,NA,32.78,NA,NA,NA,0.47,NA,NA,NA,7.92,26.44,NA,NA,NA,15.13,NA,53.9,145.95,22.4,NA,NA
